SBP_Male	GDP	TC_Male	Country	Year	Year_base1978
125.8768	2603.25266377	4.811053	Turkey	1981	1.73205080757
136.32	13256.0115009	5.6435	Italy	1981	1.73205080757
133.2352	207.790893825	4.329534	Mozambique	1981	1.73205080757
127.6906	964.54736724	4.715692	Morocco	1981	1.73205080757
137.7352	6559.60335117	5.462619	Portugal	1981	1.73205080757
123.9494	256.250629007	4.479148	Bangladesh	1981	1.73205080757
135.9847	19522.3306115	5.898196	Denmark	1981	1.73205080757
138.9863	10368.7358453	5.926431	Ireland	1981	1.73205080757
127.0411	412.341374972	4.57946	Indonesia	1981	1.73205080757
130.8687	2532.36337408	4.845512	Suriname	1981	1.73205080757
126.4238	1104.66050262	4.764775	Philippines	1981	1.73205080757
137.6806	29488.4857079	5.928414	Switzerland	1981	1.73205080757
129.6887	173.619540895	4.020997	Burundi	1981	1.73205080757
132.8094	1488.68148977	4.758806	Paraguay	1981	1.73205080757
127.4457	1648.01128817	4.72073	El Salvador	1981	1.73205080757
138.1323	19407.3850911	5.99212	Sweden	1981	1.73205080757
131.8448	1088.7192372	4.805341	Vanuatu	1981	1.73205080757
138.386	3877.4205332	5.286656	Hungary	1981	1.73205080757
133.85	10855.6335377	6.106232	New Zealand	1981	1.73205080757
138.1146	15750.4656776	5.892612	Netherlands	1981	1.73205080757
129.4485	2364.52631048	4.913363	Peru	1981	1.73205080757
133.5944	867.522618172	4.601087	Swaziland	1981	1.73205080757
132.4046	4869.47942627	4.860266	Antigua and Barbuda	1981	1.73205080757
125.5796	868.058861661	4.683715	Egypt	1981	1.73205080757
134.6131	5669.09230733	5.281557	Uruguay	1981	1.73205080757
137.0769	23320.2615306	6.113361	Iceland	1981	1.73205080757
136.3275	15939.866476	5.302428	Bahamas	1981	1.73205080757
141.4633	5373.96344431	4.929913	Gabon	1981	1.73205080757
122.3415	238.23056652	4.577288	India	1981	1.73205080757
123.8392	149.529435575	4.464699	Nepal	1981	1.73205080757
132.6027	729.4355953	4.196453	Cameroon	1981	1.73205080757
132.171	1869.621279	4.919521	Algeria	1981	1.73205080757
131.7229	1375.31471047	4.887083	Ecuador	1981	1.73205080757
130.9176	2753.56965114	4.754794	Jamaica	1981	1.73205080757
136.1599	23806.7674739	4.818636	Japan	1981	1.73205080757
136.4493	601.846992457	4.220667	Cape Verde	1981	1.73205080757
136.0056	15482.0092537	6.055462	Belgium	1981	1.73205080757
139.4073	44223.4297791	5.64974	Bermuda	1981	1.73205080757
133.6608	1643.00645213	4.844988	Mauritius	1981	1.73205080757
